NEIGHBOURHOOD_NAME,year,count
KITSILANO,2008,181
KITSILANO,2007,95
KITSILANO,2006,106
KITSILANO,2005,28
KITSILANO,2004,129
KITSILANO,2003,95
KITSILANO,2002,103
KITSILANO,2001,44
KITSILANO,2000,73
KITSILANO,1999,108
KITSILANO,1998,71
KITSILANO,1997,74
KITSILANO,1996,125
KITSILANO,1995,90
KITSILANO,1994,90
KITSILANO,1993,53
KITSILANO,1992,8
KITSILANO,1991,9
KITSILANO,1990,42
MARPOLE,2017,3129
MARPOLE,2013,169
MARPOLE,2012,117
MARPOLE,2011,50
MARPOLE,2010,99
MARPOLE,2009,127
MARPOLE,2008,181
MARPOLE,2007,101
MARPOLE,2006,150
MARPOLE,2005,110
MARPOLE,2004,75
MARPOLE,2003,75
MARPOLE,2002,156
MARPOLE,2001,107
MARPOLE,2000,137
MARPOLE,1999,156
MARPOLE,1998,247
MARPOLE,1997,90
MARPOLE,1996,147
MARPOLE,1995,93
MARPOLE,1994,118
MARPOLE,1993,41
MARPOLE,1992,46
MARPOLE,1991,19
MARPOLE,1990,10
MARPOLE,1989,4
MOUNT PLEASANT,2017,2613
MOUNT PLEASANT,2013,36
MOUNT PLEASANT,2012,50
MOUNT PLEASANT,2011,111
MOUNT PLEASANT,2010,64
MOUNT PLEASANT,2009,243
MOUNT PLEASANT,2008,76
MOUNT PLEASANT,2007,83
MOUNT PLEASANT,2006,131
MOUNT PLEASANT,2005,59
MOUNT PLEASANT,2004,42
MOUNT PLEASANT,2003,32
MOUNT PLEASANT,2002,100
MOUNT PLEASANT,2001,36
MOUNT PLEASANT,2000,43
MOUNT PLEASANT,1999,78
MOUNT PLEASANT,1998,62
MOUNT PLEASANT,1997,99
MOUNT PLEASANT,1996,115
MOUNT PLEASANT,1995,66
MOUNT PLEASANT,1994,33
MOUNT PLEASANT,1993,58
MOUNT PLEASANT,1992,388
MOUNT PLEASANT,1991,27
MOUNT PLEASANT,1990,65
MOUNT PLEASANT,1989,4
OAKRIDGE,2017,2072
OAKRIDGE,2013,161
OAKRIDGE,2012,101
OAKRIDGE,2011,51
OAKRIDGE,2010,53
OAKRIDGE,2009,98
OAKRIDGE,2008,73
OAKRIDGE,2007,128
OAKRIDGE,2006,85
OAKRIDGE,2005,107
OAKRIDGE,2004,70
OAKRIDGE,2003,20
OAKRIDGE,2002,112
OAKRIDGE,2001,30
OAKRIDGE,2000,82
OAKRIDGE,1999,137
OAKRIDGE,1998,101
OAKRIDGE,1997,139
OAKRIDGE,1996,87
OAKRIDGE,1995,174
OAKRIDGE,1994,16
OAKRIDGE,1993,210
OAKRIDGE,1992,51
OAKRIDGE,1991,3
OAKRIDGE,1990,75
RENFREW-COLLINGWOOD,2017,4619
RENFREW-COLLINGWOOD,2013,397
RENFREW-COLLINGWOOD,2012,90
RENFREW-COLLINGWOOD,2011,285
RENFREW-COLLINGWOOD,2010,210
RENFREW-COLLINGWOOD,2009,180
RENFREW-COLLINGWOOD,2008,194
RENFREW-COLLINGWOOD,2007,461
RENFREW-COLLINGWOOD,2006,219
RENFREW-COLLINGWOOD,2005,207
RENFREW-COLLINGWOOD,2004,186
RENFREW-COLLINGWOOD,2003,142
RENFREW-COLLINGWOOD,2002,268
RENFREW-COLLINGWOOD,2001,93
RENFREW-COLLINGWOOD,2000,227
RENFREW-COLLINGWOOD,1999,180
RENFREW-COLLINGWOOD,1998,291
RENFREW-COLLINGWOOD,1997,234
RENFREW-COLLINGWOOD,1996,291
RENFREW-COLLINGWOOD,1995,338
RENFREW-COLLINGWOOD,1994,69
RENFREW-COLLINGWOOD,1993,120
RENFREW-COLLINGWOOD,1992,237
RENFREW-COLLINGWOOD,1991,98
